A,24,Frontier,,,,,,
A,25,Frontier,,,,,,
A,26,Frontier,,,,,,
A,27,Frontier,,,,,,
A,28,Frontier,,,,,,
A,29,Frontier,,,,,,
A,30,Frontier,,,,,,
A,31,Frontier,,,,,,
A,32,Frontier,,,,,,
A,33,Volaris,,,,,,
A,34,Frontier,,,,,,
A,35,JetBlue; Volaris,,,,,,
A,36,Frontier,,,,,,
A,37,British Airways; Icelandair,,,,,,
A,38,Frontier,,,,,,
A,39,none,,,,,,
A,40,Frontier,,,,,,
A,41,Aeromexico; Air Canada; Icelandair; Lufthansa,,,,,,
A,42,Frontier,,,,,,
A,43,Aeromexico; Air Canada; Icelandair; Lufthansa,,,,,,
A,44,Spirit,,,,,,
A,45,American,,,,,,
A,46,none,,,,,,
A,47,American,,,,,,
A,48,none,,,,,,
A,49,American,,,,,,
A,50,none,,,,,,
A,51,AirTran,,,,,,
A,52,Alaska,,,,,,
A,53,Southwest,,,,,,
A,54,Frontier,,,,,,
A,55,Great Lakes,,,,,,
A,67,Great Lakes,,,,,,
A,68,Frontier,,,,,,
B,15,US Airways,,,,,,
B,16,United,,,,,,
B,17,US Airways,,,,,,
B,18,United,,,,,,
B,19,United,,,,,,
B,20,United,,,,,,
B,21,United,,,,,,
B,22,United,,,,,,
B,23,United,,,,,,
B,24,United,,,,,,
B,25,United,,,,,,
B,26,United,,,,,,
B,27,United,,,,,,
B,28,United,,,,,,
B,29,United,,,,,,
B,30,United,,,,,,
B,31,United,,,,,,
B,32,United,,,,,,
B,33,United,,,,,,
B,34,United,,,,,,
B,35,United,,,,,,
B,36,United,,,,,,
B,37,United,,,,,,
B,38,United,,,,,,
B,39,United,,,,,,
B,40,United,,,,,,
B,41,United,,,,,,
B,42,United,,,,,,
B,43,United,,,,,,
B,44,United,,,,,,
B,45,United,,,,,,
B,46,United,,,,,,
B,47,United,,,,,,
B,48,United,,,,,,
B,49,United,,,,,,
B,50,United,,,,,,
B,51,United,,,,,,
B,52,United,,,,,,
B,53,United,,,,,,
B,54,United,,,,,,
B,55,United,,,,,,
B,56,United,,,,,,
B,57,United,,,,,,
B,58,United,,,,,,
B,59,United,,,,,,
B,60,United,,,,,,
B,79,United,,,,,,
B,80,United,,,,,,
B,95,United,,,,,,
C,28,Southwest,,,,,,
C,29,Southwest,,,,,,
C,30,Southwest,,,,,,
C,31,Southwest,,,,,,
C,32,Southwest,,,,,,
C,33,Southwest,,,,,,
C,34,Southwest,,,,,,
C,35,Southwest,,,,,,
C,36,Southwest,,,,,,
C,37,Southwest,,,,,,
C,38,Southwest,,,,,,
C,39,Southwest,,,,,,
C,40,Southwest,,,,,,
C,41,Southwest,,,,,,
C,42,Southwest,,,,,,
C,43,Southwest,,,,,,
C,44,Southwest,,,,,,
C,45,Southwest,,,,,,
C,46,Southwest,,,,,,
C,47,Southwest,,,,,,
C,48,Southwest,,,,,,
C,49,Southwest,,,,,,
C,50,Southwest,,,,,,
